
fev 12, 2019 13:18:47.18 NEW SESSION
fev 12, 2019 13:18:47.18 [7364:10320:0212/131847.186:ERROR:install_util.cc(687)] Failed to read HKLM\SOFTWARE\Policies\Google\Chrome\MachineLevelUserCloudPolicyEnrollmentToken: O sistema não pode encontrar o arquivo especificado. (0x2)
fev 12, 2019 13:18:47.50 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.50 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.50 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.50 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.505:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.506:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.506:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.506:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.506:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.506:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.506:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
fev 12, 2019 13:18:47.54 [7364:10320:0212/131847.506:ERROR:in_progress_cache_impl.cc(203)] Cache is not initialized, cannot RetrieveEntry.
